model,auc,sens,spec,f1
RandomForest,0.5786130536130535,0.43636363636363634,0.7362637362637363,0.4230769230769231
XGBoost,0.5872710622710623,0.3757575757575758,0.6849816849816849,0.35555555555555557
Ridge,0.8741779054279055,0.5393939393939394,0.8546245421245421,0.5079365079365079
LASSO,0.7015713453213452,0.4727272727272727,0.8337912087912088,0.4675324675324675
