model,auc,sens,spec,f1
RandomForest,0.9356679520521328,0.8765432098765431,0.8990180252892118,0.8608898348028783
XGBoost,0.9434325770483962,0.7481481481481481,0.883844498251278,0.777133655394525
Ridge,0.9203285206110063,0.8345679012345678,0.867971482378262,0.7480942480942482
LASSO,0.928759752488566,0.7851851851851852,0.8741323648103311,0.7529347529347529
