model,auc,sens,spec,f1
RandomForest,0.8808485546730062,0.7356902356902357,0.8596173941001526,0.7314953634293965
XGBoost,0.9075896412887009,0.7097643097643097,0.8467968812796398,0.7040144645026415
Ridge,0.876370773079237,0.7363636363636363,0.8624038796452589,0.7140125955915431
LASSO,0.8913722467014003,0.769023569023569,0.8826728826728827,0.7666666666666666
